Epoch [98/2240], Loss: 0.0005
Epoch [98/2272], Loss: 0.0014
Epoch [98/2304], Loss: 0.0005
Epoch [98/2336], Loss: 0.0004
Epoch [98/2368], Loss: 0.0005
Epoch [98/2400], Loss: 0.0009
Epoch [98/2432], Loss: 0.0005
Epoch [98/2464], Loss: 0.0005
Epoch [98/2496], Loss: 0.0005
Epoch [98/2528], Loss: 0.0006
Epoch [98/2560], Loss: 0.0006
Epoch [98/2592], Loss: 0.0006
Epoch [98/2624], Loss: 0.0005
Epoch [98/2656], Loss: 0.0005
Epoch [98/2688], Loss: 0.0003
Epoch [98/2720], Loss: 0.0007
Epoch [98/2752], Loss: 0.0006
Epoch [98/2784], Loss: 0.0005
Epoch [98/2816], Loss: 0.0011
Epoch [98/2848], Loss: 0.0004
Epoch [98/2880], Loss: 0.0004
Epoch [98/2912], Loss: 0.0008
Epoch [98/2944], Loss: 0.0006
Epoch [98/2976], Loss: 0.0008
Epoch [98/3008], Loss: 0.0005
Epoch [98/3040], Loss: 0.0004
Epoch [98/3072], Loss: 0.0011
Epoch [98/3104], Loss: 0.0004
Epoch [98/3136], Loss: 0.0007
Epoch [98/3168], Loss: 0.0009
Epoch [98/3200], Loss: 0.0006
Epoch [98/3232], Loss: 0.0004
Epoch [98/3264], Loss: 0.0004
Epoch [98/3296], Loss: 0.0007
Epoch [98/3328], Loss: 0.0004
Epoch [98/3360], Loss: 0.0005
Epoch [98/3392], Loss: 0.0013
Epoch [98/3424], Loss: 0.0006
Epoch [98/3456], Loss: 0.0003
Epoch [98/3488], Loss: 0.0005
Epoch [98/3520], Loss: 0.0009
Epoch [98/3552], Loss: 0.0004
Epoch [98/3584], Loss: 0.0005
Epoch [98/3616], Loss: 0.0007
Epoch [98/3648], Loss: 0.0004
Epoch [98/3680], Loss: 0.0006
Epoch [98/3712], Loss: 0.0005
Epoch [98/3744], Loss: 0.0006
Epoch [98/3776], Loss: 0.0004
Epoch [98/3808], Loss: 0.0005
Epoch [98/3840], Loss: 0.0003
Epoch [98/3872], Loss: 0.0011
Epoch [98/3904], Loss: 0.0004
Epoch [98/3936], Loss: 0.0004
Epoch [98/3968], Loss: 0.0005
Epoch [98/4000], Loss: 0.0007
Epoch [98/4032], Loss: 0.0004
Epoch [98/4064], Loss: 0.0006
Epoch [98/4096], Loss: 0.0003
Epoch [98/4128], Loss: 0.0004
Epoch [98/4160], Loss: 0.0005
Epoch [98/4192], Loss: 0.0005
Epoch [98/4224], Loss: 0.0006
Epoch [98/4256], Loss: 0.0006
Epoch [98/4288], Loss: 0.0015
Epoch [98/4320], Loss: 0.0005
Epoch [98/4352], Loss: 0.0004
Epoch [98/4384], Loss: 0.0005
Epoch [98/4416], Loss: 0.0014
Epoch [98/4448], Loss: 0.0008
Epoch [98/4480], Loss: 0.0003
Epoch [98/4512], Loss: 0.0005
Epoch [98/4544], Loss: 0.0006
Epoch [98/4576], Loss: 0.0011
Epoch [98/4608], Loss: 0.0010
Epoch [98/4640], Loss: 0.0009
Epoch [98/4672], Loss: 0.0009
Epoch [98/4704], Loss: 0.0006
Epoch [98/4736], Loss: 0.0005
Epoch [98/4768], Loss: 0.0004
Epoch [98/4800], Loss: 0.0008
Epoch [98/4832], Loss: 0.0005
Epoch [98/4864], Loss: 0.0005
Epoch [98/4896], Loss: 0.0005
Epoch [98/4928], Loss: 0.0008
Epoch [98/4960], Loss: 0.0007
Epoch [98/4992], Loss: 0.0016
Epoch [98/5024], Loss: 0.0011
Epoch [98/5056], Loss: 0.0007
Epoch [98/5088], Loss: 0.0006
Epoch [98/5120], Loss: 0.0007
Epoch [98/5152], Loss: 0.0006
Epoch [98/5184], Loss: 0.0007
Epoch [98/5216], Loss: 0.0004
Epoch [98/5248], Loss: 0.0005
Epoch [98/5280], Loss: 0.0006
Epoch [98/5312], Loss: 0.0003
Epoch [98/5344], Loss: 0.0008
Epoch [98/5376], Loss: 0.0004
Epoch [98/5408], Loss: 0.0006
Epoch [98/5440], Loss: 0.0007
Epoch [98/5472], Loss: 0.0004
